id,developer,release_date,recommend,sentiment_analysis
282010.0,Stainless Games Ltd,1997,True,1
70.0,Valve,1998,True,1
70.0,Valve,1998,True,0
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,0
70.0,Valve,1998,True,1
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,0
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,False,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,0
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,0
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,2
70.0,Valve,1998,True,1
70.0,Valve,1998,True,1
70.0,Valve,1998,True,1
70.0,Valve,1998,True,2
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,0
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,False,0
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,0
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,0
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,2
2400.0,Outerlight Ltd.,2006,True,1
2400.0,Outerlight Ltd.,2006,True,0
2400.0,Outerlight Ltd.,2006,True,1
3800.0,GlyphX Games,2005,True,0
1520.0,Introversion Software,2006,True,2
1520.0,Introversion Software,2006,True,0
1520.0,Introversion Software,2006,True,0
1520.0,Introversion Software,2006,True,2
1520.0,Introversion Software,2006,False,0
1520.0,Introversion Software,2006,True,1
1520.0,Introversion Software,2006,False,1
1520.0,Introversion Software,2006,True,2
2420.0,Outerlight Ltd.,2006,True,2
2420.0,Outerlight Ltd.,2006,True,2
4000.0,Facepunch Studios,2006,True,1
4000.0,Facepunch Studios,2006,True,2
4000.0,Facepunch Studios,2006,True,2
4000.0,Facepunch Studios,2006,True,2
4000.0,Facepunch Studios,2006,True,1
4000.0,Facepunch Studios,2006,True,2
4000.0,Facepunch Studios,2006,True,1
4000.0,Facepunch Studios,2006,True,0
